구군,동수(개소),세대수(세대),인구수(명),남자인구수(명),여자인구수(명),시전체 인구에 대한 구성비(퍼센트),면적(제곱킬로미터),인구밀도(제곱킬로미터 당 명수)
중구,9,23747,41153,20333,20820,1.228610598,3.01,13672
서구,13,53630,106708,51477,55231,3.185735662,13.98,7633
동구,12,47428,90190,43889,46301,2.692595675,10.12,8912
영도구,11,54293,109151,53978,55173,3.258670701,14.2,7687
부산진구,20,181914,362505,173815,188690,10.82247916,29.67,12218
동래구,13,119706,272178,131435,140743,8.125793389,16.63,16367
남구,17,118427,260899,127288,133611,7.789062192,26.82,9728
북구,13,123082,275773,135532,140241,8.233121046,39.37,7005
해운대구,18,169532,385618,184825,200793,11.51251091,51.54,7482
사하구,16,140764,302947,150934,152013,9.044392749,41.78,7251
금정구,16,105906,220286,106926,113360,6.576573134,65.28,3374
강서구,8,62238,148540,79016,69524,4.434617603,182.16,815
연제구,12,95873,206853,98788,108065,6.175534907,12.11,17081
수영구,10,88299,176486,82787,93699,5.268937137,10.22,17269
사상구,12,100003,208794,105007,103787,6.233482885,36.11,5782
기장군,5,79746,181475,90369,91106,5.417882251,218.33,831
