"시도별","시점","연령계층별","성별",데이터
"서울특별시","2014.1/4","20 - 29세","남자",331
"서울특별시","2014.1/4","20 - 29세","여자",460
"서울특별시","2014.1/4","30 - 39세","남자",774
"서울특별시","2014.1/4","30 - 39세","여자",519
"서울특별시","2014.1/4","40 - 49세","남자",773
"서울특별시","2014.1/4","40 - 49세","여자",536
"서울특별시","2014.1/4","50 - 59세","남자",664
"서울특별시","2014.1/4","50 - 59세","여자",502
"서울특별시","2014.1/4","60세이상","남자",352
"서울특별시","2014.1/4","60세이상","여자",221
"서울특별시","2014.2/4","20 - 29세","남자",330
"서울특별시","2014.2/4","20 - 29세","여자",457
"서울특별시","2014.2/4","30 - 39세","남자",772
"서울특별시","2014.2/4","30 - 39세","여자",514
"서울특별시","2014.2/4","40 - 49세","남자",777
"서울특별시","2014.2/4","40 - 49세","여자",527
"서울특별시","2014.2/4","50 - 59세","남자",670
"서울특별시","2014.2/4","50 - 59세","여자",505
"서울특별시","2014.2/4","60세이상","남자",369
"서울특별시","2014.2/4","60세이상","여자",241
"서울특별시","2014.3/4","20 - 29세","남자",326
"서울특별시","2014.3/4","20 - 29세","여자",458
"서울특별시","2014.3/4","30 - 39세","남자",766
"서울특별시","2014.3/4","30 - 39세","여자",530
"서울특별시","2014.3/4","40 - 49세","남자",772
"서울특별시","2014.3/4","40 - 49세","여자",526
"서울특별시","2014.3/4","50 - 59세","남자",669
"서울특별시","2014.3/4","50 - 59세","여자",501
"서울특별시","2014.3/4","60세이상","남자",367
"서울특별시","2014.3/4","60세이상","여자",252
"서울특별시","2014.4/4","20 - 29세","남자",334
"서울특별시","2014.4/4","20 - 29세","여자",470
"서울특별시","2014.4/4","30 - 39세","남자",762
"서울특별시","2014.4/4","30 - 39세","여자",525
"서울특별시","2014.4/4","40 - 49세","남자",765
"서울특별시","2014.4/4","40 - 49세","여자",531
"서울특별시","2014.4/4","50 - 59세","남자",670
"서울특별시","2014.4/4","50 - 59세","여자",509
"서울특별시","2014.4/4","60세이상","남자",368
"서울특별시","2014.4/4","60세이상","여자",251
"서울특별시","2015.1/4","20 - 29세","남자",322
"서울특별시","2015.1/4","20 - 29세","여자",468
"서울특별시","2015.1/4","30 - 39세","남자",752
"서울특별시","2015.1/4","30 - 39세","여자",509
"서울특별시","2015.1/4","40 - 49세","남자",750
"서울특별시","2015.1/4","40 - 49세","여자",513
"서울특별시","2015.1/4","50 - 59세","남자",669
"서울특별시","2015.1/4","50 - 59세","여자",502
"서울특별시","2015.1/4","60세이상","남자",366
"서울특별시","2015.1/4","60세이상","여자",244
"서울특별시","2015.2/4","20 - 29세","남자",342
"서울특별시","2015.2/4","20 - 29세","여자",460
"서울특별시","2015.2/4","30 - 39세","남자",736
"서울특별시","2015.2/4","30 - 39세","여자",515
"서울특별시","2015.2/4","40 - 49세","남자",752
"서울특별시","2015.2/4","40 - 49세","여자",521
"서울특별시","2015.2/4","50 - 59세","남자",668
"서울특별시","2015.2/4","50 - 59세","여자",497
"서울특별시","2015.2/4","60세이상","남자",377
"서울특별시","2015.2/4","60세이상","여자",249
"서울특별시","2015.3/4","20 - 29세","남자",345
"서울특별시","2015.3/4","20 - 29세","여자",458
"서울특별시","2015.3/4","30 - 39세","남자",734
"서울특별시","2015.3/4","30 - 39세","여자",515
"서울특별시","2015.3/4","40 - 49세","남자",754
"서울특별시","2015.3/4","40 - 49세","여자",524
"서울특별시","2015.3/4","50 - 59세","남자",663
"서울특별시","2015.3/4","50 - 59세","여자",506
"서울특별시","2015.3/4","60세이상","남자",384
"서울특별시","2015.3/4","60세이상","여자",256
"서울특별시","2015.4/4","20 - 29세","남자",341
"서울특별시","2015.4/4","20 - 29세","여자",456
"서울특별시","2015.4/4","30 - 39세","남자",737
"서울특별시","2015.4/4","30 - 39세","여자",511
"서울특별시","2015.4/4","40 - 49세","남자",751
"서울특별시","2015.4/4","40 - 49세","여자",529
