,이름,위도,경도,주소,타입
0,금정남산동DT,35.2621786292157,129.091325043351,부산광역시 금정구 중앙대로 1989 (남산동)1522-3232,pin_generalDT
1,금정구청DT,35.2388135211636,129.092985849499,부산광역시 금정구 중앙대로 1730 (부곡동)1522-3232,pin_generalDT
2,온천장역DT,35.224006,129.08656,부산광역시 금정구 식물원로 13 (장전동)1522-3232,pin_generalDT
3,부산대정문,35.23212165114605,129.0844959292725,부산광역시 금정구 부산대학로64번길 12 (장전동)1522-3232,pin_general
4,부산대역,35.23052180284867,129.08869433543111,"부산광역시 금정구 장전로12번길 64, 1~4층 (장전동)1522-3232",pin_general
5,금정이마트,35.249819818853915,129.09078227309334,부산광역시 금정구 중앙대로1841번길 24 (구서동)1522-3232,pin_general
6,금정구서,35.246908383445785,129.08873844189125,부산광역시 금정구 금강로 441 (구서동)1522-3232,pin_general
7,부산서동,35.21463924851766,129.10558442984572,부산광역시 금정구 서동로 173 (서동)1522-3232,pin_general
8,용호동W스퀘어,35.1337011,129.113324,"부산광역시 남구 분포로 145 (용호동) 더블유스퀘어동 1019호,1020호,1021호,2011호 2012호1522-3232",pin_general
9,동명대DT,35.12311959047579,129.09901642703608,부산광역시 남구 신선로 423 (용당동)1522-3232,pin_generalDT
10,BIFC Mall,35.14631046844054,129.0658885485103,부산광역시 남구 문현금융로 40 (문현동) 부산국제금융센터1522-3232,pin_general
11,부산대연역,35.13503615347691,129.09309969594813,"부산광역시 남구 수영로 240-1, 1층 (대연동)1522-3232",pin_general
12,경성대,35.137345553736964,129.10063775537583,부산광역시 남구 수영로 312 (대연동)1522-3232,pin_general
13,문현이마트,35.144695123536415,129.06430350788162,부산광역시 남구 전포대로91번길 47 (문현동)1522-3232,pin_general
14,부산유엔공원,35.1299808,129.0980971,부산광역시 남구 유엔로 200 (대연동)1522-3232,pin_general
15,용호빌리브,35.1311,129.1126,부산광역시 남구 분포로 61 (용호동) 빌리브센트로 제B동 101호~106호1522-3232,pin_general
16,부산대연못골,35.13609516236527,129.09191736599408,부산광역시 남구 못골로 87 (대연동)1522-3232,pin_general
17,부산역라마다,35.11434481154264,129.04030612857068,부산광역시 동구 중앙대로196번길 10 (초량동)1522-3232,pin_general
18,부산역아스티,35.11612791103763,129.04171604868281,부산광역시 동구 중앙대로214번길 7-8 (초량동)1522-3232,pin_general
19,부산역,35.11634794930394,129.04069059547626,부산광역시 동구 중앙대로 216 (초량동)1522-3232,pin_general
20,범일동일타워,35.13879394894444,129.06395425040046,부산광역시 동구 조방로 14 (범일동)1522-3232,pin_general
21,서면중앙대로R,35.15286800166649,129.05944626017197,부산광역시 부산진구 중앙대로 672 (부전동) 1층 2층1522-3232,pin_reserve
22,서면로R,35.15524851626055,129.0576381743508,부산광역시 부산진구 서면로 49-1 (부전동)1522-3232,pin_reserve
23,양정역,35.170171720959104,129.0692742371578,부산광역시 부산진구 중앙대로 894 (양정동)1522-3232,pin_general
24,동의대역,35.15495095970587,129.03618733441533,부산광역시 부산진구 가야대로 589 (가야제1동)1522-3232,pin_general
25,부산개금역,35.1529820637631,129.02259825927663,부산광역시 부산진구 가야대로 462 (개금동)1522-3232,pin_general
26,서면전포역,35.154364828346324,129.06362887930075,부산광역시 부산진구 전포대로199번길 27 (전포동)1522-3232,pin_general
27,부산서면중앙로,35.1554897646539,129.0589527478538,부산광역시 부산진구 중앙대로 701 (부전동)1522-3232,pin_general
28,서면서전로,35.157919185437365,129.0619520174245,부산광역시 부산진구 서전로 19 (부전동)1522-3232,pin_general
29,부산서면,35.154098,129.061562,부산광역시 부산진구 중앙대로692번길 46-10 (부전동)1522-3232,pin_general
30,서면역,35.15789381388878,129.0600009198993,부산광역시 부산진구 서전로 1 (부전동)1522-3232,pin_general
31,부전역,35.16181113722542,129.06201461279443,"부산광역시 부산진구 중앙대로 777, 서면호텔 복합시설1,2층 (부전동)1522-3232",pin_general
32,서면센트럴스퀘어,35.1516177133099,129.06089873180213,부산광역시 부산진구 중앙대로666번길 50 (부전동)1522-3232,pin_general
33,서면메디컬거리,35.157961,129.05740949999995,"부산광역시 부산진구 가야대로 783-1, 1층 (부전동)1522-3232",pin_general
34,서면중앙,35.15685353046891,129.05798035954555,부산광역시 부산진구 서면로68번길 1 (부전동)1522-3232,pin_general
35,서면트레이더스,35.163831285849966,129.0530396365257,부산광역시 부산진구 시민공원로 31 (부암동)1522-3232,pin_general
36,초읍대공원,35.1828193069829,129.04748360769,부산광역시 부산진구 성지곡로 6 (초읍동)1522-3232,pin_general
37,서면엠디엠타워,35.14953868695743,129.05888780315,부산광역시 부산진구 중앙대로 639 (범천동)1522-3232,pin_general
38,서면문화로,35.15885783683483,129.057495917852,부산광역시 부산진구 서면문화로 10 (부전동)1522-3232,pin_general
39,부산덕천역,35.210787,129.008358,부산광역시 북구 만덕대로 30 (덕천동)1522-3232,pin_general
40,부산화명역,35.2336752802956,129.013187668175,부산광역시 북구 금곡대로285번길 5 (화명동)1522-3232,pin_general
41,화명강변DT,35.216972,129.004611,부산광역시 북구 금곡대로77 (덕천동)1522-3232,pin_generalDT
42,부산구남역DT,35.1982412867577,128.996280148597,부산광역시 북구 백양대로 1040 (구포동)1522-3232,pin_generalDT
43,부산만덕DT,35.213166,129.039764,부산광역시 북구 만덕대로 323 (만덕동)1522-3232,pin_generalDT
44,사상주례DT,35.154847,128.996302,부산광역시 사상구 백양대로 520 (주례동)1522-3232,pin_generalDT
45,동서대DT,35.150783485507844,129.0098599874532,부산광역시 사상구 가야대로 338 (주례동)1522-3232,pin_generalDT
46,사상역,35.163891199333676,128.9833401567374,부산광역시 사상구 사상로 211 (괘법동)1522-3232,pin_general
47,부산사상로,35.1629709567761,128.984586499721,부산광역시 사상구 사상로 200 (괘법동) 105호1522-3232,pin_general
48,삼락강변DT,35.176684552695,128.976710446542,부산광역시 사상구 낙동대로 1306 (삼락동)1522-3232,pin_generalDT
49,사상엄궁DT,35.127533,128.969588,부산광역시 사상구 낙동대로 744 (엄궁동)1522-3232,pin_generalDT
50,부산사상광장로,35.16265589792603,128.97897548212344,부산광역시 사상구 광장로 22 (괘법동)1522-3232,pin_general
51,사상이마트,35.163833237506026,128.9786199214018,부산광역시 사상구 광장로 17 (괘법동)1522-3232,pin_general
52,다대포비치,35.04912735175173,128.96356670482658,부산광역시 사하구 다대로 714 (다대동)1522-3232,pin_general
53,다대포DT,35.060973,128.975257,부산광역시 사하구 다대로 493 (다대동)1522-3232,pin_generalDT
54,을숙도강변DT,35.115260,128.959578,부산광역시 사하구 하신번영로 381-6 (하단동)1522-3232,pin_generalDT
55,부산괴정역,35.09838203957716,128.9941945104235,부산광역시 사하구 사하로186번길 6 (괴정동)1522-3232,pin_general
56,하단중앙,35.106522,128.966103,부산광역시 사하구 낙동남로 1411 (하단동)1522-3232,pin_general
57,사하장림DT,35.0849337,128.9802207,부산광역시 사하구 을숙도대로 682 (장림동)1522-3232,pin_generalDT
58,부산교대역DT,35.198904092650125,129.07893128206547,부산광역시 연제구 중앙대로 1250 (거제동)1522-3232,pin_generalDT
59,연산시티타워,35.18803410880442,129.08075637170526,부산광역시 연제구 중앙대로 1125 (연산동)1522-3232,pin_general
60,부산연산역,35.18708216840511,129.08318543518365,부산광역시 연제구 반송로 20 (연산동)1522-3232,pin_general
61,부산교대,35.19568537974173,129.07744953386472,부산광역시 연제구 교대로 20-2 (거제동)1522-3232,pin_general
62,연산트레이더스,35.184911403836246,129.11250884445252,부산광역시 연제구 좌수영로 241 연산동1522-3232,pin_general
63,연산교차로,35.185394802963785,129.08161110688536,부산광역시 연제구 중앙대로 1098 (연산동)1522-3232,pin_general
64,부산시청,35.18159,129.07841,부산광역시 연제구 중앙천로 93 (연산동)1522-3232,pin_general
65,연제이마트,35.175745706845255,129.08174091127475,부산광역시 연제구 연수로 89 (연산동)1522-3232,pin_general
66,부산거제DT,35.1865001979024,129.07157452462,부산광역시 연제구 거제대로 203 (거제동)1522-3232,pin_generalDT
67,영도청학DT,35.09383102762473,129.06509801314024,부산광역시 영도구 태종로 373 (청학동)1522-3232,pin_generalDT
68,영도대교,35.094416365879304,129.03703260805238,부산광역시 영도구 태종로 39 (대교동1가)1522-3232,pin_general
69,부산광복로,35.1000583746614,129.03122156965264,부산광역시 중구 광복중앙로 8-2 (광복동3가)1522-3232,pin_general
70,자갈치역,35.09832596040299,129.02973667134492,부산광역시 중구 구덕로 54-1 (남포동5가)1522-3232,pin_general
71,국제시장,35.1028329653543,129.02859285920434,부산광역시 중구 대청로 80 (대청동3가)1522-3232,pin_general
72,부산중앙역,35.105097657441014,129.0360866880956,부산광역시 중구 중앙대로81번길 2 (중앙동4가)1522-3232,pin_general
73,남포동역,35.098231711510195,129.0352223610506,"부산광역시 중구 구덕로 4, 1~2층 (광복동1가)1522-3232",pin_general
74,부산비프광장,35.098939258377975,129.02876501093598,부산광역시 중구 비프광장로 33 (남포동3가)1522-3232,pin_general
75,기장역DT,35.2421513,129.220117,부산광역시 기장군 기장읍 기장대로 527 1522-3232,pin_generalDT
76,동부산DT,35.184073,129.210875,부산광역시 기장군 기장읍 기장해안로 56 1522-3232,pin_generalDT
77,부산정관,35.321336,129.176983,부산광역시 기장군 정관읍 정관로 579 1522-3232,pin_general
78,기장일광DT,35.25724296996289,129.22513371734493,부산광역시 기장군 일광읍 기장대로 706 1522-3232,pin_generalDT
79,부산P.아울렛,35.32270153066869,129.23541462883986,부산광역시 기장군 장안읍 정관로 1133 1522-3232,pin_general
80,동부산테마파크,35.19358296608474,129.21421852069204,부산광역시 기장군 기장읍 동부산관광로 34 1522-3232,pin_general
81,정관신도시DT,35.334446374142374,129.17072655312796,부산광역시 기장군 정관읍 모전로 101 1522-3232,pin_generalDT
82,기장임랑원,35.3164532805935,129.260928085016,부산광역시 기장군 장안읍 임랑해안길 10 1522-3232,pin_general
83,광안수변공원,35.1532166,129.1246161,부산광역시 수영구 민락수변로 29 (민락동)1522-3232,pin_general
84,수영역,35.16573717329124,129.1145750821663,부산광역시 수영구 수영로 671 (광안동)1522-3232,pin_general
85,금련산역,35.147170,129.110500,부산광역시 수영구 수영로464번길 6 (남천동)1522-3232,pin_general
86,광안비치,35.15317424344426,129.1178487484164,부산광역시 수영구 광안로62번길 39 (광안동)1522-3232,pin_general
87,수영망미DT,35.177411,129.107428,부산광역시 수영구 과정로 68 (망미동)1522-3232,pin_generalDT
88,광안리,35.155026,129.120851,부산광역시 수영구 광안해변로 247 (민락동)1522-3232,pin_general
89,남천,35.14830649,129.1141711,부산광역시 수영구 남천바다로 38 (남천동)1522-3232,pin_general
90,남천더샵,35.141257063803636,129.106706345427,"부산광역시 수영구 수영로 389 (남천동, 더샵 남천프레스티지)1522-3232",pin_general
91,밀락더마켓,35.15400258151108,129.12727354079507,부산광역시 수영구 민락수변로17번길 56 (민락동)1522-3232,pin_general
92,센텀수영DT,35.17746,129.117487,부산광역시 수영구 좌수영로 151 (망미동)1522-3232,pin_generalDT
93,스타필드명지,35.0934683,128.9174322,부산광역시 강서구 명지국제6로 168 스타필드 명지 1층1522-3232,pin_general
94,명지강변DT,35.1026237,128.9294804,부산광역시 강서구 르노삼성대로 620 (명지동)1522-3232,pin_generalDT
95,명지국제신도시,35.0978,128.9203,부산광역시 강서구 명지국제5로 42 (명지동)1522-3232,pin_general
96,명지오션시티,35.084043,128.903135,부산광역시 강서구 명지오션시티11로 66 (명지동)1522-3232,pin_general
97,강서녹산DT,35.1128623326732,128.879644210693,부산광역시 강서구 낙동남로511번길 42 (녹산동)1522-3232,pin_generalDT
98,명지퍼스트월드,35.09724028810901,128.90666213068852,"부산광역시 강서구 명지국제7로 37 (명지동, 더샵 명지퍼스트월드 2단지)1522-3232",pin_general
99,동래역,35.20557928384287,129.08011706501625,부산광역시 동래구 충렬대로181번길 42 (명륜동)1522-3232,pin_general
100,명륜역,35.212443,129.078378,부산광역시 동래구 동래로 25 1522-3232,pin_general
101,사직구장,35.1961928325401,129.061604489178,부산광역시 동래구 사직북로 4 (사직동)1522-3232,pin_generalWT
102,부산안락DT,35.1958595,129.10695409999994,부산광역시 동래구 충렬대로 446 (안락동)1522-3232,pin_generalDT
103,동래미남DT,35.20719597598838,129.07202514350354,부산광역시 동래구 충렬대로 101 (온천동)1522-3232,pin_generalDT
104,부산사직,35.19791171938551,129.0605500953889,부산광역시 동래구 사직북로 24 (사직동)1522-3232,pin_general
105,부산온천장역,35.2213751233653,129.085953323194,"부산광역시 동래구 중앙대로 1523, SK허브스카이위아아파트 1층 (온천동)1522-3232",pin_general
106,부산동래,35.20292773253749,129.0810293032682,부산광역시 동래구 충렬대로 194 (명륜동)1522-3232,pin_general
107,동래허심청,35.220761664490546,129.08272279990265,부산광역시 동래구 온천장로107번길 32 (온천동) 1층1522-3232,pin_general
108,부산미남역,35.20560853458733,129.0677604615084,부산광역시 동래구 석사북로 108 (온천동)1522-3232,pin_general
